ID,Vacancy_name,Salary,Experience,Company_name,Location
152,Маркетолог (Алматы),300 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО Детский магазин Uti,Алматы
153,Маркетолог,до 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Коркем Телеком,Астана
154,Бренд-менеджер (маркетолог),400 000 – 450 000 ₸ на руки,Опыт 1-3 года,ТОО Мой дом MWC,Астана
155,Маркетолог,от 490 000 ₸ на руки,Опыт 1-3 года,ТОО ГАЗПРОМНЕФТЬ-КАЗАХСТАН ОПЕРАЦИОННАЯ КОМПАНИЯ,Алматы
156,Помощник маркетолога,,Опыт 1-3 года,ТОО КДЛ ОЛИМП (ТОО Мырза-Хан),Астана
157,Помощник Маркетолога,,Опыт 1-3 года,ТОО Проманалит,Павлодар
158,Маркетолог,,Опыт 1-3 года,ТОО РОЗА,Шымкент
159,Маркетолог/ ассистент маркетолога,150 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,ИП ЖӘНІБЕК (ALtec),Тараз
160,Маркетолог,от 450 000 ₸ на руки,Опыт 1-3 года,ИП HR Компания «CHANGE» (ИП Куприянова),Алматы
161,Маркетолог,от 500 000 ₸ на руки,Опыт 3-6 лет,ЧК POWERBNK LTD.,Алматы
162,Маркетолог,от 200 000 ₸ на руки,Опыт 1-3 года,ТОО EHS Machinery,Усть-Каменогорск
163,Маркетолог,,Опыт 1-3 года,ТОО Spark Логистика,Алматы
164,Маркетолог - аналитик,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО DOLCE,Алматы
165,Трейд-маркетолог,800 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,Teez,Алматы
166,Маркетолог/SSM специалист,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Джида,Атырау
167,Маркетолог,310 000 – 310 000 ₸ на руки,Опыт 1-3 года,ТОО DOSCAR GROUP,Тараз
168,Маркетолог,550 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО DOCUMENTOLOG CREATIVE STUDIO,Астана
169,Маркетолог,от 250 000 ₸ на руки,Опыт 3-6 лет,ТОО Эмиль Фабрика мороженого,Усть-Каменогорск
170,Маркетолог,от 300 000 ₸ на руки,Опыт 1-3 года,ТОО Кайнар-Медиа,Талдыкорган
171,Менеджер по маркетингу / B2B – маркетолог,250 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ПКФ Семей Сталь Сервис,Семей
172,Маркетолог,600 000 – 650 000 ₸ на руки,Опыт 1-3 года,ТОО Almatytrade,Алматы
173,Маркетолог,до 280 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО СарыаркаАвтоПром,Костанай
174,Маркетолог,,Опыт 1-3 года,ТОО Компания Hoster.KZ,Караганда
175,Маркетолог,,Опыт 3-6 лет,ТОО DPD Kazakhstan,Алматы
176,Маркетолог,,Опыт 1-3 года,ТОО DOSCAR GROUP,Усть-Каменогорск
177,Маркетолог,350 000 – 400 000 ₸ на руки,Опыт 1-3 года,АО Группа компаний Аллюр,Астана
178,Маркетолог/Менеджер по маркетингу и рекламе,180 000 – 400 000 ₸ на руки,Опыт более 6 лет,ТОО УК ТРК,Усть-Каменогорск
179,Digital маркетолог,от 600 000 ₸ на руки,Опыт 3-6 лет,ИП MEIR DESIGN,Алматы
180,Маркетолог,до 1 000 000 ₸ на руки,Опыт более 6 лет,ТОО Dostar coffee,Астана
181,Маркетолог,от 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО ELIT QŪRYLYS GROUP,Талдыкорган
182,Маркетолог,500 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО Частная компания Investlink Ltd,Алматы
183,Маркетолог,от 200 000 ₸ на руки,Опыт 1-3 года,ТОО EHS Machinery,Усть-Каменогорск
184,Маркетолог,150 000 – 500 000 ₸ на руки,Опыт 3-6 лет,ТОО ULS ASIA,Караганда
185,Маркетолог,от 150 000 ₸ на руки,Опыт 1-3 года,ТОО ТАН-НҰР,Шымкент
186,Маркетолог,250 000 – 250 000 ₸ на руки,Опыт 1-3 года,ТОО Best Food Astana,Усть-Каменогорск
187,Ассистент маркетолога (E-commers),от 200 000 ₸ на руки,Опыт 1-3 года,ТОО Фармация Юниверсал,Алматы
188,Маркетолог,150 000 – 250 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Wesc,Астана
189,Маркетолог (SMM специалист),от 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Колледж Әділет,Алматы
190,Маркетолог,250 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Медея Север,Петропавловск
191,Маркетолог,,Опыт 1-3 года,ИП Алдабергенова,Алматы
192,Маркетолог,150 000 – 150 000 ₸ на руки,Опыт 1-3 года,ТОО Best Food Astana,Актау
193,Менеджер в Отдел Маркетинга,,Опыт 1-3 года,ИП Группа Роботек (Шалкарбеков С.Ж.),Астана
194,Маркетолог,до 300 000 ₸ на руки,Опыт 1-3 года,ТОО YM POST.KZ,Алматы
195,Маркетолог,от 200 000 ₸ на руки,Опыт 1-3 года,ТОО МонЭлит,Рудный
196,Интернет-маркетолог,от 350 000 ₸ на руки,Опыт 1-3 года,ИП Ковчег,Караганда
197,Маркетолог,,Опыт 1-3 года,ТОО NKB Group Kazakhstan,Алматы
198,Маркетолог,,Опыт 1-3 года,ТОО Армтек (ЗапчастьТрейд),Алматы
199,Маркетолог,,Опыт 1-3 года,ТОО Астанинский электротехнический завод,Астана
200,Маркетолог,,Опыт 3-6 лет,"Радуга, ТОО (Компания Raduga KDR)",Петропавловск
201,CRM-маркетолог / Email-маркетолог,до 70 000 ₽ на руки,Опыт 1-3 года,ООО Экокомерс,Астана
202,Маркетолог,200 000 – 300 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Titalee,Астана
203,Маркетолог,от 500 000 ₸ на руки,Опыт 1-3 года,ИП Гейслер Р.А.,Алматы
204,Маркетолог,от 400 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО ЦВЕТЫ ОПТОМ,Астана
205,Маркетолог,,Опыт 3-6 лет,ТОО АсылТау-2019,Алматы
206,Ассистент маркетолога,от 110 000 ₸ на руки,Без опыта,ИП Cima,Семей
207,Помощник маркетолога,110 760 – 110 760 ₸ до вычета налогов,Без опыта,ТОО Bilim Education,Астана
208,Продюсер-маркетолог,,Без опыта,ТОО K&K Partners,Астана
209,Маркетолог-аналитик,700 000 – 1 500 000 ₸ на руки,Опыт более 6 лет,ИП ТАУБАЕВ ЖАСУЛАН ТЛЕУКУЛОВИЧ,Астана
210,Маркетолог,260 000 – 260 000 ₸ до вычета налогов,Без опыта,Гос. корп. Палата предпринимателей Акмолинской области,Кокшетау
211,Маркетолог,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО Центр доктора Лабунца,Астана
212,СММ маркетолог,100 000 – 100 000 ₸ на руки,Опыт 1-3 года,ОФ ӨМІРГЕ СЕН,Алматы
213,"Маркетолог/SMM-менеджер/контент-менеджер Компания ""izitel""",250 000 – 350 000 ₸ на руки,Опыт 3-6 лет,ИП FINSAR,Астана
214,Маркетолог в области сельского хозяйства,,Опыт 1-3 года,ТОО АгроТехМенеджмент,Астана
215,Менеджер по маркетингу,,Опыт 3-6 лет,ТОО Инфинити Орда,Атырау
216,Маркетолог по продажам (Sales Marketer),,Опыт 1-3 года,ТОО Медиал Групп,Алматы
217,Менеджер по маркетингу,,Опыт 1-3 года,ТОО SYM TECHNOLOGY,Алматы
218,Трейд-маркетолог (АСТАНА),,Опыт 1-3 года,Univita,Астана
219,Интернет-маркетолог,,Опыт 3-6 лет,АО Jusan Invest,Алматы
220,Маркетолог (бренд - менеджер в Fashion Retail),от 250 000 ₸ на руки,Опыт 3-6 лет,ТОО FASHIONMANIA,Астана
221,Digital (Performance) маркетолог,,Опыт 3-6 лет,ТОО Sortex Techno,Алматы
222,Маркетолог (Fashion Retail),,Опыт более 6 лет,ТОО Admix Sport (Адмикс спорт),Алматы
223,Менеджер по маркетингу,280 000 – 300 000 ₸ на руки,Опыт 1-3 года,ТОО JFOOD KAZAKHSTAN,Астана
224,Product Marketing Manager,,Опыт 1-3 года,АО Jusan Invest,Алматы
225,Менеджер по маркетингу,,Опыт 1-3 года,ТОО LUKOIL Lubricants Central Asia (ТОО ЛУКОЙЛ Лубрикантс Центральная Азия),Алматы
